MJD;Magnitude;Error;Facility;Filter;Observer
59619.39585650014;19.600743730063094;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.39585650014;19.594872349970164;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.3972800998;19.464840699629708;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59619.3972800998;19.46757526155076;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.39346062997;17.468185910397747;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.39346062997;17.474545384789582;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.394537060056;17.310888684832666;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.394537060056;17.30216665568978;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.395821779966;17.87755356232694;0.19216105191139263;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.395821779966;19.171888902871718;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.39725694014;18.961161106534693;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59620.39725694014;18.965809160677974;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59621.38777778018;18.025915324984798;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59621.38777778018;16.682798869319836;0.17007560640364927;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59621.38886574004;17.942498275628996;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59621.38886574004;17.94073420192566;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59621.39015045995;18.399352261617373;0.15060452071622032;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59621.39158568019;18.3949466944732;0.20241556752990325;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.060093;19.392;0.24;ATLAS;ATLAS(c);ATLAS
59622.063745;19.809;0.388;ATLAS;ATLAS(c);ATLAS
59622.069223;19.636;0.27;ATLAS;ATLAS(c);ATLAS
59622.3816550998;18.158585831435822;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.3816550998;18.154708974709035;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.382731469814;16.65429628192417;0.15711688311511238;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.382731469814;18.17360701676091;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.38402775023;18.145660372501723;0.142847131122824;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.38402775023;19.86281343031002;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.385451409966;18.51796083138092;0.22196535010682164;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59622.385451409966;19.898259024518467;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.38243055018;16.633449985826246;0.14780156547721046;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.38351855008;18.283241583907586;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.38351855008;16.59660541724886;0.13094343798380262;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.38480326021;20.145572387272836;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.38480326021;18.535266671651726;0.22863631916475669;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.386226859875;18.352562580475578;0.1587746213286021;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59623.386226859875;20.003972225129974;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.38313659979;16.626879841370968;0.16401270663403023;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.38313659979;18.121222413617154;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.384224529844;16.38250859868639;0.16029520897926566;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.384224529844;18.19604917779949;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.385532409884;19.82573423989461;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.385532409884;19.82230769290599;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.38697919017;18.337840541109216;0.16325878835894025;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59624.38697919017;20.08781878234725;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.38332176022;18.142663861247282;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.38332176022;18.138966305562317;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.384409700055;17.024002613559645;0.25650794685712025;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.384409700055;18.638252723585826;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
